AVG,year,player,fantasyPts,position,bucket,median,expected_diff,player_id
40.3,2017,Davante Adams,222.5,WR,3,209.45,13.05,2133
41.0,2017,Tyreek Hill,241.2,WR,3,209.45,31.75,3321
46.0,2017,Michael Crabtree,167.8,WR,3,209.45,-41.65,455
46.3,2017,Sammy Watkins,146.3,WR,3,209.45,-63.15,1817
47.7,2017,Golden Tate,224.5,WR,3,209.45,15.05,642
48.7,2017,Jarvis Landry,264.0,WR,3,209.45,54.55,1825
51.3,2017,Larry Fitzgerald,260.6,WR,4,166.3,94.3,223
52.3,2017,Martavis Bryant,130.5,WR,4,166.3,-35.8,1916
54.3,2017,Stefon Diggs,198.2,WR,4,166.3,31.9,2449
55.3,2017,Kelvin Benjamin,135.2,WR,4,166.3,-31.1,2182
61.3,2017,Emmanuel Sanders,114.5,WR,4,166.3,-51.8,538
64.7,2017,Jamison Crowder,166.3,WR,4,166.3,0.0,2410
68.3,2017,Willie Snead IV,17.2,WR,5,143.1,-125.9,1911
69.0,2017,Brandon Marshall,33.4,WR,5,143.1,-109.7,648
71.7,2017,DeVante Parker,130.0,WR,5,143.1,-13.1,2319
77.0,2017,Pierre Garcon,90.0,WR,5,143.1,-53.1,269
78.3,2017,DeSean Jackson,138.6,WR,5,143.1,-4.50000000000003,147
84.3,2017,Donte Moncrief,77.1,WR,5,143.1,-66.0,1971
87.7,2017,Jeremy Maclin,102.0,WR,6,146.4,-44.4,411
90.3,2017,Randall Cobb,157.0,WR,6,146.4,10.6,928
93.3,2017,Eric Decker,116.3,WR,6,146.4,-30.1,558
96.3,2017,Tyrell Williams,139.8,WR,6,146.4,-6.59999999999999,2583
107.7,2017,Adam Thielen,243.7,WR,6,146.4,97.3,1689
108.3,2017,John Brown,69.9,WR,6,146.4,-76.5,2238
110.7,2017,Corey Coleman,65.5,WR,7,114.2,-48.7,3177
113.0,2017,Marvin Jones Jr.,225.1,WR,7,114.2,110.9,1067
117.3,2017,Kenny Britt,57.6,WR,7,114.2,-56.6,366
120.0,2017,Jordan Matthews,59.2,WR,7,114.2,-55.0,
122.0,2017,Rishard Matthews,156.2,WR,7,114.2,42.0,1046
122.7,2017,Corey Davis,71.5,WR,7,114.2,-42.7,4036
122.7,2017,Ted Ginn Jr.,159.6,WR,8,123.0,36.6,695
123.7,2017,Mike Wallace,151.2,WR,8,123.0,28.2,365
135.0,2017,Chris Hogan,109.6,WR,8,123.0,-13.4,1329
147.0,2017,Josh Doctson,119.8,WR,8,123.0,-3.2,3178
148.0,2017,Zay Jones,70.6,WR,8,123.0,-52.4,4080
150.0,2017,Kevin White,2.6,WR,8,123.0,-120.4,2312
150.3,2017,Sterling Shepard,144.5,WR,9,117.9,26.6,3200
155.3,2017,Robbie Chosen,200.0,WR,9,117.9,82.1,3423
156.3,2017,Cole Beasley,91.4,WR,9,117.9,-26.5,1144
162.7,2017,Tyler Lockett,118.3,WR,9,117.9,0.399999999999992,2374
165.3,2017,Taylor Gabriel,81.7,WR,9,117.9,-36.2,1903
166.3,2017,Cooper Kupp,178.9,WR,9,117.9,61.0,4039
167.7,2017,Kenny Stills,178.7,WR,10,99.6,79.1,1555
170.7,2017,Kenny Golladay,94.6,WR,10,99.6,-5.0,4131
171.0,2017,Mohamed Sanu,168.3,WR,10,99.6,68.7,1071
173.3,2017,John Ross,1.2,WR,10,99.6,-98.4,4038
179.3,2017,Chris Thompson,13.4,WR,10,99.6,-86.2,4719
193.3,2017,Robert Woods,165.3,WR,10,99.6,65.7,1352
196.7,2017,J.J. Nelson,95.5,WR,11,74.25,21.25,2462
197.0,2017,Allen Hurns,99.4,WR,11,74.25,25.15,1984
197.0,2017,Danny Amendola,138.9,WR,11,74.25,64.65,491
200.0,2017,Breshad Perriman,17.7,WR,11,74.25,-56.55,2331
202.7,2017,Devin Funchess,195.0,WR,11,74.25,120.75,
202.7,2017,Mike Williams,20.5,WR,11,74.25,-53.75,4068
203.7,2017,Kendall Wright,126.4,WR,12,94.7,31.7,1097
205.7,2017,Torrey Smith,90.7,WR,12,94.7,-4.0,826
218.3,2017,Tavon Austin,50.7,WR,12,94.7,-44.0,1567
222.3,2017,Travis Benjamin,124.3,WR,12,94.7,29.6,1077
225.0,2017,Paul Richardson Jr.,150.3,WR,12,94.7,55.6,2279
225.3,2017,Marquise Goodwin,168.6,WR,12,94.7,73.9,1346
226.0,2017,Chris Conley,28.5,WR,13,78.35,-49.85,2381
227.0,2017,Jaron Brown,102.7,WR,13,78.35,24.35,1684
233.7,2017,Nelson Agholor,187.5,WR,13,78.35,109.15,2325
244.3,2017,ArDarius Stewart,16.9,WR,13,78.35,-61.45,4119
246.3,2017,Curtis Samuel,32.9,WR,13,78.35,-45.45,4082
246.3,2017,Josh Gordon,57.5,WR,13,78.35,-20.85,1244
