Player,AVG,year,fantasyPts,position,bucket,median,expected_diff
Braxton Miller,288.5,2017,41.3,WR,16,48.7,-7.400000000000006
Taywan Taylor,289.0,2017,49.4,WR,16,48.7,0.6999999999999957
Ryan Switzer,290.0,2017,10.6,WR,16,48.7,-38.1
Chris Godwin,298.0,2017,92.5,WR,17,54.85,37.65
Jeremy Kerley,299.0,2017,49.7,WR,17,54.85,-5.149999999999999
Bruce Ellington,299.0,2017,75.7,WR,17,54.85,20.85
Austin Carr,299.0,2017,0.0,WR,17,54.85,-54.85
Aldrick Robinson,300.0,2017,57.0,WR,17,54.85,2.1499999999999986
Kamar Aiken,305.5,2017,28.3,WR,17,54.85,-26.55
Mack Hollins,307.0,2017,44.6,WR,18,54.4,-9.799999999999997
Jaelen Strong,312.0,2017,12.8,WR,18,54.4,-41.599999999999994
Dontrelle Inman,314.0,2017,65.3,WR,18,54.4,10.899999999999999
Brian Quick,322.0,2017,13.6,WR,18,54.4,-40.8
Markus Wheaton,322.5,2017,8.1,WR,18,54.4,-46.3
Seth Roberts,327.5,2017,94.5,WR,18,54.4,40.1
Sammie Coates,328.5,2017,13.0,WR,19,41.7,-28.700000000000003
Andre Holmes,338.5,2017,43.0,WR,19,41.7,1.2999999999999972
Geronimo Allison,343.5,2017,48.3,WR,19,41.7,6.599999999999994
Chester Rogers,349.0,2017,58.2,WR,19,41.7,16.5
Tyler Ervin,353.0,2017,13.0,WR,19,41.7,-28.700000000000003
Adam Humphries,360.0,2017,130.7,WR,19,41.7,88.99999999999999
Demarcus Robinson,362.0,2017,42.2,WR,20,24.75,17.450000000000003
Justin Hunter,369.0,2017,12.3,WR,20,24.75,-12.45
Leonte Carroo,372.0,2017,13.9,WR,20,24.75,-10.85
Albert Wilson,381.0,2017,116.0,WR,20,24.75,91.25
Charone Peake,384.0,2017,1.3,WR,20,24.75,-23.45
Ricardo Louis,386.0,2017,62.7,WR,20,24.75,37.95
Aaron Rodgers,36.7,2018,314.6,QB,0,307.2,7.400000000000034
Deshaun Watson,56.3,2018,346.6,QB,0,307.2,39.400000000000034
Russell Wilson,60.7,2018,308.5,QB,0,307.2,1.3000000000000114
Tom Brady,65.7,2018,294.7,QB,0,307.2,-12.5
Cam Newton,73.3,2018,291.6,QB,0,307.2,-15.599999999999966
Drew Brees,81.0,2018,308.9,QB,0,307.2,1.6999999999999886
Carson Wentz,94.3,2018,209.3,QB,1,286.7,-77.39999999999998
Matthew Stafford,98.0,2018,231.2,QB,1,286.7,-55.5
Kirk Cousins,98.7,2018,299.4,QB,1,286.7,12.699999999999989
Andrew Luck,100.0,2018,339.5,QB,1,286.7,52.80000000000001
Ben Roethlisberger,105.3,2018,353.0,QB,1,286.7,66.30000000000001
Jimmy Garoppolo,108.3,2018,49.0,QB,1,286.7,-237.7
Philip Rivers,110.7,2018,289.0,QB,2,259.25,29.75
Matt Ryan,113.7,2018,360.5,QB,2,259.25,101.25
Patrick Mahomes,115.3,2018,431.1,QB,2,259.25,171.85000000000002
Jared Goff,121.3,2018,326.3,QB,2,259.25,67.05000000000001
Marcus Mariota,126.7,2018,184.8,QB,2,259.25,-74.44999999999999
Alex Smith,133.3,2018,145.0,QB,2,259.25,-114.25
Derek Carr,138.7,2018,238.7,QB,3,209.0,29.69999999999999
Dak Prescott,141.7,2018,301.9,QB,3,209.0,92.89999999999998
Jameis Winston,146.7,2018,215.8,QB,3,209.0,6.800000000000011
Eli Manning,160.7,2018,253.0,QB,3,209.0,44.0
Blake Bortles,163.7,2018,192.2,QB,3,209.0,-16.80000000000001
Andy Dalton,166.7,2018,185.5,QB,3,209.0,-23.5
Case Keenum,167.0,2018,233.9,QB,4,174.65,59.25
Tyrod Taylor,196.7,2018,43.4,QB,4,174.65,-131.25
Ryan Tannehill,198.0,2018,152.7,QB,4,174.65,-21.950000000000017
Joe Flacco,208.0,2018,145.1,QB,4,174.65,-29.55000000000001
Baker Mayfield,221.3,2018,256.1,QB,4,174.65,81.45000000000002
Sam Darnold,223.7,2018,187.4,QB,4,174.65,12.75
Sam Bradford,224.0,2018,20.7,QB,5,112.1,-91.39999999999999
Lamar Jackson,240.3,2018,168.3,QB,5,112.1,56.20000000000002
Nick Foles,253.3,2018,82.2,QB,5,112.1,-29.89999999999999
Josh Allen,260.3,2018,222.1,QB,5,112.1,110.0
Josh Rosen,263.3,2018,134.9,QB,5,112.1,22.80000000000001
Josh McCown,292.7,2018,24.8,QB,5,112.1,-87.3
Ryan Fitzpatrick,321.0,2018,177.8,QB,6,14.9,162.9
Teddy Bridgewater,330.0,2018,8.2,QB,6,14.9,-6.700000000000001
Jacoby Brissett,331.5,2018,-0.6,QB,6,14.9,-15.5
Brian Hoyer,427.0,2018,-0.5,QB,6,14.9,-15.4
DeShone Kizer,436.0,2018,9.4,QB,6,14.9,-5.5
Chad Kelly,452.0,2018,-0.1,QB,6,14.9,-15.0
C.J. Beathard,464.0,2018,88.0,QB,7,25.450000000000003,62.55
Chase Daniel,489.0,2018,30.9,QB,7,25.450000000000003,5.449999999999996
Todd Gurley,1.0,2018,368.1,RB,0,239.39999999999998,128.70000000000005
Ezekiel Elliott,4.0,2018,331.1,RB,0,239.39999999999998,91.70000000000005
Alvin Kamara,5.7,2018,348.2,RB,0,239.39999999999998,108.80000000000001
Saquon Barkley,7.0,2018,383.8,RB,0,239.39999999999998,144.40000000000003
Kareem Hunt,9.3,2018,230.2,RB,0,239.39999999999998,-9.199999999999989
Leonard Fournette,9.7,2018,120.4,RB,0,239.39999999999998,-118.99999999999997
Melvin Gordon,10.3,2018,271.5,RB,1,227.8,43.69999999999999
Christian McCaffrey,14.3,2018,383.2,RB,1,227.8,155.39999999999998
Dalvin Cook,14.3,2018,156.0,RB,1,227.8,-71.80000000000001
Devonta Freeman,19.0,2018,14.1,RB,1,227.8,-213.70000000000002
Joe Mixon,22.3,2018,243.7,RB,1,227.8,15.899999999999977
Jordan Howard,23.3,2018,182.0,RB,1,227.8,-45.80000000000001
LeSean McCoy,28.0,2018,127.2,RB,2,193.55,-66.35000000000001
Kenyan Drake,31.7,2018,208.2,RB,2,193.55,14.649999999999977
Alex Collins,35.0,2018,114.6,RB,2,193.55,-78.95000000000002
Derrick Henry,39.3,2018,202.8,RB,2,193.55,9.25
Jay Ajayi,42.7,2018,43.4,RB,2,193.55,-150.15
Mark Ingram,43.7,2018,144.5,RB,2,193.55,-49.05000000000001
Royce Freeman,44.0,2018,103.3,RB,3,169.05,-65.75000000000001
