AVG,year,player,fantasyPts,position,bucket,median,expected_diff,sleeper_id,player_id
71.7,2017,DeVante Parker,130.0,WR,5,143.10000000000002,-13.100000000000025,8140,2319
77.0,2017,Pierre Garcon,90.0,WR,5,143.10000000000002,-53.10000000000002,8140,269
78.3,2017,DeSean Jackson,138.6,WR,5,143.10000000000002,-4.500000000000028,8140,147
84.3,2017,Donte Moncrief,77.1,WR,5,143.10000000000002,-66.00000000000003,8140,1971
87.7,2017,Jeremy Maclin,102.0,WR,6,146.4,-44.400000000000006,8140,411
90.3,2017,Randall Cobb,157.0,WR,6,146.4,10.599999999999994,8140,928
93.3,2017,Eric Decker,116.3,WR,6,146.4,-30.10000000000001,8140,558
96.3,2017,Tyrell Williams,139.8,WR,6,146.4,-6.599999999999994,8140,2583
107.7,2017,Adam Thielen,243.7,WR,6,146.4,97.29999999999998,8140,1689
108.3,2017,John Brown,69.9,WR,6,146.4,-76.5,8140,2238
110.7,2017,Corey Coleman,65.5,WR,7,114.2,-48.7,8140,3177
113.0,2017,Marvin Jones Jr.,225.1,WR,7,114.2,110.9,8140,1067
117.3,2017,Kenny Britt,57.6,WR,7,114.2,-56.6,8140,366
120.0,2017,Jordan Matthews,59.2,WR,7,114.2,-55.0,8140,
122.0,2017,Rishard Matthews,156.2,WR,7,114.2,41.999999999999986,8140,1046
122.7,2017,Corey Davis,71.5,WR,7,114.2,-42.7,8140,4036
122.7,2017,Ted Ginn Jr.,159.6,WR,8,123.0,36.599999999999994,8140,695
123.7,2017,Mike Wallace,151.2,WR,8,123.0,28.19999999999999,8140,365
135.0,2017,Chris Hogan,109.6,WR,8,123.0,-13.400000000000006,8140,1329
147.0,2017,Josh Doctson,119.8,WR,8,123.0,-3.200000000000003,8140,3178
148.0,2017,Zay Jones,70.6,WR,8,123.0,-52.400000000000006,8140,4080
150.0,2017,Kevin White,2.6,WR,8,123.0,-120.4,8140,2312
150.3,2017,Sterling Shepard,144.5,WR,9,117.9,26.59999999999999,8140,3200
155.3,2017,Robbie Chosen,200.0,WR,9,117.9,82.1,8140,3423
156.3,2017,Cole Beasley,91.4,WR,9,117.9,-26.5,8140,1144
162.7,2017,Tyler Lockett,118.3,WR,9,117.9,0.3999999999999915,8140,2374
165.3,2017,Taylor Gabriel,81.7,WR,9,117.9,-36.2,8140,1903
166.3,2017,Cooper Kupp,178.9,WR,9,117.9,61.0,8140,4039
167.7,2017,Kenny Stills,178.7,WR,10,99.6,79.1,8140,1555
170.7,2017,Kenny Golladay,94.6,WR,10,99.6,-5.0,8140,4131
171.0,2017,Mohamed Sanu,168.3,WR,10,99.6,68.70000000000002,8140,1071
173.3,2017,John Ross,1.2,WR,10,99.6,-98.4,8140,4038
179.3,2017,Chris Thompson,13.4,WR,10,99.6,-86.19999999999999,8140,4719
193.3,2017,Robert Woods,165.3,WR,10,99.6,65.70000000000002,8140,1352
196.7,2017,J.J. Nelson,95.5,WR,11,74.25,21.25,8140,2462
197.0,2017,Allen Hurns,99.4,WR,11,74.25,25.15000000000001,8140,1984
197.0,2017,Danny Amendola,138.9,WR,11,74.25,64.65,8140,491
200.0,2017,Breshad Perriman,17.7,WR,11,74.25,-56.55,8140,2331
202.7,2017,Devin Funchess,195.0,WR,11,74.25,120.75,8140,
202.7,2017,Mike Williams,20.5,WR,11,74.25,-53.75,8140,4068
203.7,2017,Kendall Wright,126.4,WR,12,94.7,31.700000000000003,8140,1097
205.7,2017,Torrey Smith,90.7,WR,12,94.7,-4.0,8140,826
218.3,2017,Tavon Austin,50.7,WR,12,94.7,-44.0,8140,1567
222.3,2017,Travis Benjamin,124.3,WR,12,94.7,29.59999999999999,8140,1077
225.0,2017,Paul Richardson Jr.,150.3,WR,12,94.7,55.60000000000001,8140,2279
225.3,2017,Marquise Goodwin,168.6,WR,12,94.7,73.89999999999999,8140,1346
226.0,2017,Chris Conley,28.5,WR,13,78.35,-49.849999999999994,8140,2381
227.0,2017,Jaron Brown,102.7,WR,13,78.35,24.35000000000001,8140,1684
233.7,2017,Nelson Agholor,187.5,WR,13,78.35,109.15,8140,2325
244.3,2017,ArDarius Stewart,16.9,WR,13,78.35,-61.45,8140,4119
246.3,2017,Curtis Samuel,32.9,WR,13,78.35,-45.45,8140,4082
246.3,2017,Josh Gordon,57.5,WR,13,78.35,-20.84999999999999,8140,1244
254.3,2017,Brandon LaFell,124.8,WR,14,90.55,34.25,8140,613
254.5,2017,Brandon Coleman,77.4,WR,14,90.55,-13.149999999999991,8140,2196
254.7,2017,Terrance Williams,111.3,WR,14,90.55,20.75,8140,1490
259.3,2017,Dede Westbrook,66.9,WR,14,90.55,-23.64999999999999,8140,4146
261.0,2017,Phillip Dorsett,32.1,WR,14,90.55,-58.45,8140,2334
262.0,2017,Tyler Boyd,56.5,WR,14,90.55,-34.05,8140,3225
263.3,2017,Jermaine Kearse,176.0,WR,15,60.7,115.3,8140,1290
263.5,2017,Kasen Williams,17.4,WR,15,60.7,-43.3,8140,2611
265.0,2017,Damiere Byrd,33.7,WR,15,60.7,-27.0,8140,2673
268.0,2017,Chad Williams,9.4,WR,15,60.7,-51.3,8140,4128
269.3,2017,JuJu Smith-Schuster,191.7,WR,15,60.7,131.0,8140,4040
271.5,2017,Michael Floyd,17.8,WR,15,60.7,-42.900000000000006,8140,1219
272.0,2017,Cordarrelle Patterson,86.0,WR,16,47.55,38.45,8140,
274.7,2017,Eli Rogers,38.9,WR,16,47.55,-8.649999999999999,8140,2980
277.3,2017,Laquon Treadwell,40.0,WR,16,47.55,-7.549999999999997,8140,3155
288.5,2017,Braxton Miller,41.3,WR,16,47.55,-6.25,8140,3203
289.0,2017,Taywan Taylor,49.4,WR,16,47.55,1.8500000000000016,8140,4125
290.0,2017,Ryan Switzer,10.6,WR,16,47.55,-36.95,8140,4162
298.0,2017,Chris Godwin,92.5,WR,17,50.1,42.4,8140,4037
299.0,2017,Jeremy Kerley,49.7,WR,17,50.1,-0.3999999999999986,8140,817
299.0,2017,Bruce Ellington,75.7,WR,17,50.1,25.6,8140,2255
299.0,2017,Austin Carr,0.0,WR,17,50.1,-50.1,8140,4416
300.0,2017,Aldrick Robinson,57.0,WR,17,50.1,6.899999999999999,8140,919
305.5,2017,Kamar Aiken,28.3,WR,17,50.1,-21.8,8140,794
307.0,2017,Mack Hollins,44.6,WR,18,55.85,-11.25,8140,4177
312.0,2017,Jaelen Strong,12.8,WR,18,55.85,-43.05,8140,2375
314.0,2017,Dontrelle Inman,65.3,WR,18,55.85,9.449999999999996,8140,2291
